MnFeCoNiAl
increment: 10
strain_r: 0.001
temperature: 300
e: Mn-Co, Fe-Ni,Al
ratio:50.0:50.0,33.0:67.0,100
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,Ty0_tensile,Delta_Eb,Delta_sigma_ss
0.1,0.1,0.8,0.05,0.05,0.033,0.067,0.8,15.495933333333335,2.79840721834,96.6374,36.1113633333,0.338046961949,0.00814032502308,410.193298181,1.23377718652,69.0399520929
0.1,0.2,0.7,0.05,0.05,0.067,0.133,0.7,14.981066666666669,2.76706425922,104.2401,39.0839266667,0.333541802095,0.0118509284901,562.603820708,1.45326877932,103.912861226
0.1,0.3,0.6,0.05,0.05,0.1,0.2,0.6,14.466200000000002,2.73499469092,111.8428,42.05649,0.329673493913,0.0148118460397,694.34490285,1.61719122621,135.030716491
0.1,0.4,0.5,0.05,0.05,0.133,0.267,0.5,13.951333333333336,2.70215487841,119.4455,45.0290533333,0.32631591337,0.0168236922608,801.221434209,1.7335691772,160.614931545
0.1,0.5,0.4,0.05,0.05,0.167,0.333,0.4,13.43646666666667,2.66849683659,127.0482,48.0016166667,0.323374178022,0.0176379986381,873.759939018,1.80016307528,177.895621063
0.1,0.6,0.3,0.05,0.05,0.2,0.4,0.3,12.921600000000002,2.63396761079,134.6509,50.97418,0.320775537733,0.0169435976605,896.395241062,1.80694095596,182.78045643
0.1,0.7,0.2,0.05,0.05,0.233,0.467,0.2,12.406733333333335,2.5985085403,142.2536,53.9467433333,0.318463277023,0.0143486215667,843.337990407,1.7311857546,168.959959146
0.1,0.8,0.1,0.05,0.05,0.267,0.533,0.1,11.891866666666669,2.56205437724,149.8563,56.9193066667,0.316392528089,0.0093564720169,665.013461501,1.51355366376,125.354074468
0.1,0.9,0.0,0.05,0.05,0.3,0.6,0.0,11.377,2.52453222451,157.459,59.89187,0.314527330671,0.00133340282449,189.862574479,0.793659375607,21.6665293894
0.2,0.0,0.8,0.1,0.1,0.0,0.0,0.8,15.549600000000002,2.80163404661,112.5714,42.3556,0.328884492251,0.0072641675958,433.856355411,1.37895595973,77.9377490106
0.2,0.1,0.7,0.1,0.1,0.033,0.067,0.7,15.034733333333335,2.77036447248,120.1741,45.3281633333,0.325600809328,0.0110115210747,606.71570222,1.63107969616,118.445669209
0.2,0.2,0.6,0.1,0.1,0.067,0.133,0.6,14.519866666666669,2.73837260901,127.7768,48.3007266667,0.322721300673,0.0140241737393,753.120328357,1.81165050478,153.726295576
0.2,0.3,0.5,0.1,0.1,0.1,0.2,0.5,14.005000000000003,2.70561524295,135.3795,51.27329,0.320175670412,0.0161066997927,870.162173146,1.93522550633,182.210958158
0.2,0.4,0.4,0.1,0.1,0.133,0.267,0.4,13.490133333333334,2.67204486975,142.9822,54.2458533333,0.317909030958,0.0170157080159,948.52478673,2.00182740557,201.103805779
0.2,0.5,0.3,0.1,0.1,0.167,0.333,0.3,12.975266666666668,2.63760908491,150.5849,57.2184166667,0.315877900618,0.0164465853309,972.195423053,2.00199860166,206.128755287
0.2,0.6,0.2,0.1,0.1,0.2,0.4,0.2,12.460400000000002,2.60224986088,158.1876,60.19098,0.314047387167,0.0140159882822,914.311939625,1.91226316893,190.598299962
0.2,0.7,0.1,0.1,0.1,0.233,0.467,0.1,11.945533333333334,2.5659026825,165.7903,63.1635433333,0.312389166683,0.00923849568695,723.133537203,1.67013205788,142.662273721
0.2,0.8,0.0,0.1,0.1,0.267,0.533,0.0,11.430666666666667,2.52849550586,173.393,66.1361066667,0.310880007451,0.00149514950604,223.860311113,0.909875975309,29.691995708
0.3,0.0,0.7,0.15,0.15,0.0,0.0,0.7,15.088400000000002,2.77365684162,136.1081,51.5724,0.319582761322,0.0101710840996,643.08525127,1.79758281839,130.854959099
